date,signals
2024-08-27,0
2024-08-28,0
2024-08-29,0
2024-08-30,0
2024-09-03,0
2024-09-04,0
2024-09-05,0
2024-09-06,0
2024-09-09,0
2024-09-10,0
2024-09-11,0
2024-09-12,0
2024-09-13,0
2024-09-16,0
2024-09-17,0
2024-09-18,0
2024-09-19,0
2024-09-20,0
2024-09-23,0
2024-09-24,0
2024-09-25,0
2024-09-26,0
2024-09-27,0
2024-09-30,0
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,0
2024-10-07,0
2024-10-08,0
2024-10-09,0
2024-10-10,0
2024-10-11,0
2024-10-14,0
2024-10-15,0
2024-10-16,0
2024-10-17,0
2024-10-18,0
2024-10-21,0
2024-10-22,0
2024-10-23,0
2024-10-24,0
2024-10-25,0
2024-10-28,0
2024-10-29,0
2024-10-30,0
2024-10-31,0
2024-11-01,0
2024-11-04,0
2024-11-05,0
2024-11-06,0
2024-11-07,0
2024-11-08,0
2024-11-11,0
2024-11-12,0
2024-11-13,0
2024-11-14,0
2024-11-15,0
2024-11-18,0
2024-11-19,0
2024-11-20,0
2024-11-21,0
2024-11-22,0
2024-11-25,0
2024-11-26,0
2024-11-27,0
2024-11-29,0
2024-12-02,0
2024-12-03,0
2024-12-04,0
2024-12-05,0
2024-12-06,0
2024-12-09,0
2024-12-10,0
2024-12-11,0
2024-12-12,0
2024-12-13,0
2024-12-16,0
2024-12-17,0
2024-12-18,0
2024-12-19,0
2024-12-20,0
2024-12-23,0
2024-12-24,0
2024-12-26,0
2024-12-27,0
2024-12-30,0
2024-12-31,0
2025-01-02,0
2025-01-03,0
2025-01-06,0
2025-01-07,0
2025-01-08,0
2025-01-10,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,0
2025-01-17,0
2025-01-21,1
2025-01-22,1
2025-01-23,0
2025-01-24,1
2025-01-27,1
2025-01-28,1
2025-01-29,3
2025-01-30,6
2025-01-31,1
2025-02-03,2
2025-02-04,2
2025-02-05,5
2025-02-06,3
2025-02-07,1
2025-02-10,1
2025-02-11,0
2025-02-12,1
2025-02-13,1
2025-02-14,2
2025-02-18,1
2025-02-19,3
2025-02-20,1
2025-02-21,0
2025-02-24,0
2025-02-25,1
2025-02-26,4
2025-02-27,2
2025-02-28,4
2025-03-03,1
2025-03-04,1
2025-03-05,1
2025-03-06,2
2025-03-07,1
2025-03-10,3
2025-03-11,2
2025-03-12,2
2025-03-13,2
2025-03-14,4
2025-03-17,2
2025-03-18,0
2025-03-19,1
2025-03-20,2
2025-03-21,1
2025-03-24,0
2025-03-25,2
2025-03-26,2
2025-03-27,2
2025-03-28,1
2025-03-31,1
2025-04-01,1
2025-04-02,0
2025-04-03,2
2025-04-04,0
2025-04-07,0
2025-04-08,0
2025-04-09,0
2025-04-10,5
2025-04-11,4
2025-04-14,5
2025-04-15,6
2025-04-16,14
2025-04-17,1
2025-04-21,3
2025-04-22,0
2025-04-23,1
2025-04-24,0
2025-04-25,1
2025-04-28,0
2025-04-29,0
2025-04-30,1
2025-05-01,3
2025-05-02,0
2025-05-05,1
2025-05-06,4
2025-05-07,1
2025-05-08,2
2025-05-09,1
2025-05-12,0
2025-05-13,1
2025-05-14,0
2025-05-15,1
2025-05-16,1
2025-05-19,0
2025-05-20,0
2025-05-21,1
2025-05-22,1
2025-05-23,0
2025-05-27,3
2025-05-28,1
2025-05-29,0
2025-05-30,0
2025-06-02,1
2025-06-03,3
2025-06-04,0
2025-06-05,1
2025-06-06,1
2025-06-09,3
2025-06-10,0
2025-06-11,1
2025-06-12,1
2025-06-13,0
2025-06-16,2
2025-06-17,0
2025-06-18,3
2025-06-20,0
2025-06-23,0
2025-06-24,2
2025-06-25,0
2025-06-26,2
2025-06-27,0
2025-06-30,1
2025-07-01,1
2025-07-02,0
2025-07-03,2
2025-07-07,0
2025-07-08,1
2025-07-09,1
2025-07-10,0
2025-07-11,0
2025-07-14,0
2025-07-15,0
2025-07-16,1
2025-07-17,0
2025-07-18,0
2025-07-21,0
2025-07-22,0
2025-07-23,0
2025-07-24,0
2025-07-25,2
2025-07-28,2
2025-07-29,4
2025-07-30,0
2025-07-31,2
2025-08-01,1
2025-08-04,0
2025-08-05,0
2025-08-06,1
2025-08-07,0
2025-08-08,1
2025-08-11,1
2025-08-12,0
2025-08-13,2
2025-08-14,1
2025-08-15,3
2025-08-18,3
2025-08-19,0
2025-08-20,0
2025-08-21,1
2025-08-22,3
2025-08-25,0
2025-08-26,1
2025-08-27,0
